pageId,localPath,kind,sourcePageId,title,control,imageCount,copyPolicy
beds--auronde-deep-black,/beds/auronde-deep-black/,core-existing,beds--auronde-white-oak,Auronde 深黑,,2,catalog-attributes-only
beds--auronde-natural-oak,/beds/auronde-natural-oak/,core-existing,beds--auronde-white-oak,Auronde 天然橡木,,2,catalog-attributes-only
beds--essential-deep-black-headboard,/beds/essential-deep-black-headboard/,core-existing,beds--essential-pure-white,Essential 深黑,,2,catalog-attributes-only
beds--essential-deep-black,/beds/essential-deep-black/,core-existing,beds--essential-pure-white,Essential 深黑,,2,catalog-attributes-only
beds--essential-pine-green,/beds/essential-pine-green/,core-existing,beds--essential-pure-white,Essential 松綠,,2,catalog-attributes-only
beds--essential-sand-beige,/beds/essential-sand-beige/,core-existing,beds--essential-pure-white,Essential 沙米色,,2,catalog-attributes-only
beds--noa-balanced-oak-open-lamellas-headboard,/beds/noa-balanced-oak-open-lamellas-headboard/,core-existing,beds--noa-balanced-oak,Noa 平衡橡木,,2,catalog-attributes-only
beds--noa-balanced-oak-table,/beds/noa-balanced-oak-table/,core-existing,beds--noa-balanced-oak,Noa 平衡橡木,,2,catalog-attributes-only
beds--noa-chocolate-brown-oak,/beds/noa-chocolate-brown-oak/,core-existing,beds--noa-balanced-oak,Noa 巧克力棕橡木,,2,catalog-attributes-only
beds--noa-midnight-black-oak,/beds/noa-midnight-black-oak/,core-existing,beds--noa-balanced-oak,Noa 午夜黑橡木,,2,catalog-attributes-only
beds--noa-soft-white-oak,/beds/noa-soft-white-oak/,core-existing,beds--noa-balanced-oak,Noa 柔白 橡木,,2,catalog-attributes-only
beds--original-deep-black-outline-headboard,/beds/original-deep-black-outline-headboard/,core-existing,beds--original-blush,Original-深黑,,2,catalog-attributes-only
beds--original-deep-black,/beds/original-deep-black/,core-existing,beds--original-blush,Original 深黑,,2,catalog-attributes-only
beds--original-pine-green-dew-emerald,/beds/original-pine-green-dew-emerald/,core-existing,beds--original-blush,Original 松綠,,2,catalog-attributes-only
beds--original-royal-blue,/beds/original-royal-blue/,core-existing,beds--original-blush,Original 皇家藍,,2,catalog-attributes-only
box-springs--criade-cool-grey,/box-springs/criade-cool-grey/,core-existing,box-springs--criade-blush,Criade 冷灰,,2,catalog-attributes-only
box-springs--criade-deep-black,/box-springs/criade-deep-black/,core-existing,box-springs--criade-blush,Criade 深黑,,2,catalog-attributes-only
box-springs--criade-dusty-red,/box-springs/criade-dusty-red/,core-existing,box-springs--criade-blush,Criade 霧紅,,2,catalog-attributes-only
box-springs--criade-pine-green,/box-springs/criade-pine-green/,core-existing,box-springs--criade-blush,Criade 松綠,,2,catalog-attributes-only
box-springs--criade-sand-beige,/box-springs/criade-sand-beige/,core-existing,box-springs--criade-blush,Criade 沙米色,,2,catalog-attributes-only
box-springs--kiruna-night-blue,/box-springs/kiruna-night-blue/,core-existing,box-springs--kiruna-deep-black,Kiruna 夜藍,,2,catalog-attributes-only
box-springs--kiruna-pine-green,/box-springs/kiruna-pine-green/,core-existing,box-springs--kiruna-deep-black,Kiruna 松綠,,2,catalog-attributes-only
box-springs--kiruna-warm-grey-sami,/box-springs/kiruna-warm-grey-sami/,core-existing,box-springs--kiruna-deep-black,Kiruna 暖灰,,2,catalog-attributes-only
box-springs--original-box-spring-blush,/box-springs/original-box-spring-blush/,core-existing,box-springs--original-box-spring-dusty-red,Original 裸粉,,2,catalog-attributes-only
box-springs--original-box-spring-cool-grey,/box-springs/original-box-spring-cool-grey/,core-existing,box-springs--original-box-spring-dusty-red,Original 冷灰,,2,catalog-attributes-only
