route,cohort,reason
/,HISTORICAL262_STALE19,Historical scope member is no longer live in Current Official evidence and was never formally accepted.
/accessories/leavings-cushion/,HISTORICAL262_STALE19,Historical scope member is no longer live in Current Official evidence and was never formally accepted.
/auping-revive/,HISTORICAL262_STALE19,Historical scope member is no longer live in Current Official evidence and was never formally accepted.
/based-reliable-source/,HISTORICAL262_STALE19,Historical scope member is no longer live in Current Official evidence and was never formally accepted.
/bed-bases/flat-mesh-base/,HISTORICAL262_STALE19,Historical scope member is no longer live in Current Official evidence and was never formally accepted.
/bed-linen/pillows/cloud-pillow/,HISTORICAL262_STALE19,Historical scope member is no longer live in Current Official evidence and was never formally accepted.
/beds/original-bed/,HISTORICAL262_STALE19,Historical scope member is no longer live in Current Official evidence and was never formally accepted.
/beds/royal-bed/,HISTORICAL262_STALE19,Historical scope member is no longer live in Current Official evidence and was never formally accepted.
/box-springs/criade-box-spring/,HISTORICAL262_STALE19,Historical scope member is no longer live in Current Official evidence and was never formally accepted.
/box-springs/kiruna-box-spring/,HISTORICAL262_STALE19,Historical scope member is no longer live in Current Official evidence and was never formally accepted.
/contact-us/,HISTORICAL262_STALE19,Historical scope member is no longer live in Current Official evidence and was never formally accepted.
/give-your-mattress-second-life/,HISTORICAL262_STALE19,Historical scope member is no longer live in Current Official evidence and was never formally accepted.
/how-recyclable-your-mattress/,HISTORICAL262_STALE19,Historical scope member is no longer live in Current Official evidence and was never formally accepted.
/leavings-auping/,HISTORICAL262_STALE19,Historical scope member is no longer live in Current Official evidence and was never formally accepted.
/maestro-and-vivo-improved-vita-talalay-originsr-comfort-layer/,HISTORICAL262_STALE19,Historical scope member is no longer live in Current Official evidence and was never formally accepted.
/manuals/,HISTORICAL262_STALE19,Historical scope member is no longer live in Current Official evidence and was never formally accepted.
/support/,HISTORICAL262_STALE19,Historical scope member is no longer live in Current Official evidence and was never formally accepted.
/sustainable-dictionary/,HISTORICAL262_STALE19,Historical scope member is no longer live in Current Official evidence and was never formally accepted.
/top-mattresses-0/,HISTORICAL262_STALE19,Historical scope member is no longer live in Current Official evidence and was never formally accepted.
/about-auping/design/colours/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/about-auping/hotels/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/auping-love/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/bed-bases/electrical-adjustable-bed-bases/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/bedframes/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/bedframes/bedframes-140x200/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/bedframes/bedframes-160x200/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/bedframes/bedframes-180x200/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/bedframes/bedframes-90x200/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/beds/bed-headboard/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/beds/beds-120x200/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/beds/beds-140x200/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/beds/beds-140x210/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/beds/beds-160x200/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/beds/beds-160x210/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/beds/beds-180x200/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/beds/beds-180x210/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/beds/beds-180x220/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/beds/beds-200x200/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/beds/beds-200x220/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/beds/beds-90x200/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/beds/beds-90x210/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/beds/beds-without-headboard/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/beds/black-beds/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/beds/design-beds/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/beds/double-beds/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/beds/doubter-beds/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/beds/electrically-adjustable-beds/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/beds/essential-royal-blue/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/beds/guest-beds/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/beds/luxurious-beds/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/beds/noa-dark-blue-oak-open-lamellas-headboard/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/beds/senior-beds/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/beds/single-beds/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/beds/white-beds/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/box-springs/box-spring-mattresses/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/checkout/payment/accept/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/checkout/payment/decline/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/checkout/payment/exception/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/checkout/payment/process/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/checkout/retry/payment/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/customer/account/createpassword/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/cvd/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/declarationofconformity-ffp2mask/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/edra/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
/enjoy-beds/,CURRENT817_ONLY_DELTA489,Later raw sitemap discovery only; not part of continuity baseline unless admitted by explicit scope-expansion change control.
